Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
BG,,"Advisory Services Network, LLC",9880,0.0051,
BG,,APICIL Asset Management SA,9844,0.0051,
BG,,Simril (Kenneth),9814,0.0051,
BG,,BlackRock (Singapore) Limited,9626,0.005,
BG,,CooksonPeirce Wealth Management,9564,0.0049,
BG,,VanEck Investments Ltd.,9561,0.0049,
BG,,Tower Research Capital LLC,9511,0.0049,
BG,,Old Mutual Investment Group (South Africa) (Pty) Limited,9494,0.0049,
BG,,FIL Investments (Japan) Limited,9486,0.0049,
BG,,"Crossmark Global Investments, Inc",9461,0.0049,
BG,,"Contravisory Investment Management, Inc.",9422,0.0049,
BG,,Inspire Investing,9393,0.0048,
BG,,"Voya Investments, LLC",9270,0.0048,
BG,,"Yuanta Securities Investment Trust Co., Ltd.",9136,0.0047,
BG,,Jyske Bank A/S,9044,0.0047,
BG,,"Wealth Enhancement Advisory Services, LLC",9033,0.0047,
BG,,"Foster & Motley, Inc.",9016,0.0046,
BG,,"Osaic Holdings, Inc.",8981,0.0046,
BG,,O'Brien Greene & Co. Inc.,8833,0.0046,
BG,,"Allspring Global Investments, LLC",8760,0.0045,
BG,,Desjardins Global Asset Management,8758,0.0045,
BG,,"Two Sigma Investments, LP",8573,0.0044,
BG,,National Pension Service,8557,0.0044,
BG,,Healthcare Of Ontario Pension Plan,8504,0.0044,
BG,,Kentucky Retirement Systems,8457,0.0044,
BG,,"J.W. Cole Advisors, Inc.",8389,0.0043,
BG,,Mahoney (Christopher),8320,0.0043,
BG,,Avantis Investors_NLE,8283,0.0043,
BG,,"MML Investors Services, LLC",8205,0.0042,
BG,,"Mizuho Securities USA, LLC.",8183,0.0042,
BG,,Dorval Asset Management,8178,0.0042,
BG,,Zürich Beteiligungs-Aktiengesellschaft (Deutschland),8148,0.0042,
BG,,Bank Vontobel AG,8102,0.0042,
BG,,Rafferty Asset Management LLC,8099,0.0042,
BG,,MFS Investment Management,8070,0.0042,
BG,,"SIG Brokerage, LP",8070,0.0042,
BG,,PICTON Investments,8065,0.0042,
BG,,DWS Investments Hong Kong Limited,7929,0.0041,
BG,,"The Ascent Group, LLC",7796,0.004,
BG,,HRT Financial LP,7756,0.004,
BG,,MLC Asset Management,7683,0.004,
BG,,Edward Jones,7614,0.0039,
BG,,OMERS Administration Corporation,7595,0.0039,
BG,,GAMMA Investing LLC,7582,0.0039,
BG,,BlackRock (Luxembourg) S.A.,7483,0.0039,
BG,,"Prospera Financial Services, Inc.",7436,0.0038,
BG,,"Elevated Capital Advisors, LLC",7420,0.0038,
BG,,"Bradley, Foster & Sargent, Inc.",7415,0.0038,
BG,,Laird Norton Wealth Management,7349,0.0038,
BG,,Lustosa (De Andrade Eliane Aleixo),7282,0.0038,
BG,,"Harbour Capital Advisors, LLC",7200,0.0037,
BG,,IFS Independent Financial Services AG,7200,0.0037,
BG,,"Hager Investment Management Services, LLC",7197,0.0037,
BG,,UBS Asset Management Switzerland AG,7168,0.0037,
BG,,Centennial Wealth Advisory LLC,7135,0.0037,
BG,,Park Avenue Securities LLC,7120,0.0037,
BG,,"Bosera Asset Management Co., Ltd.",7094,0.0037,
BG,,McGurk (Monica Houle),7088,0.0037,
BG,,BlackRock Advisors (UK) Limited,7063,0.0036,
BG,,Nicolet National Bank,7039,0.0036,
BG,,"Twin Tree Management, LP",7038,0.0036,
BG,,BMO Harris Bank N.A.,7001,0.0036,
BG,,"AXQ Capital, LP",7001,0.0036,
BG,,Louisiana State Employees' Retirement System,6900,0.0036,
BG,,Napatree Capital LLC_NLE,6866,0.0035,
BG,,LBP AM,6861,0.0035,
BG,,Commonwealth Financial Network,6853,0.0035,
BG,,"Abacus Wealth Partners, LLC",6805,0.0035,
