"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"65",4296555324,"Cargill Inc",154083519587,"2011-02-26","2011-03-24","2012-03-22","364 Day Revolver","Standby/CP Support",NA,"Cargill Inc",7.28e+08,9,"Arab Bank PLC","ABL","Lead Manager",80888888.8888889
"66",4296555324,"Cargill Inc",154083525478,"2009-07-21","2009-07-21","2010-07-20","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",7.5e+07,23,"ING","ING","Lead Manager",3260869.56521739
"67",4296555324,"Cargill Inc",154083526164,"2012-05-31","2012-05-31","2027-05-31","Term Loan A","Refinance/Retiring Bank Debt",NA,"Cargill Inc",19500000,10,"Oddo BHF SCA","ODDO-BHF-SCA","Lead Manager",1950000
"68",4296555324,"Cargill Inc",154083526165,"2012-05-31","2012-05-31","2022-05-31","Term Loan A","Standby/CP Support",NA,"Cargill Inc",19500000,2,"Hypo-bank","HYPO-BANK","Lead Manager",9750000
"69",4296555324,"Cargill Inc",154083526166,"2012-05-31","2012-05-31","2019-05-31","Term Loan A","Refinance/Retiring Bank Debt",NA,"Cargill Inc",19500000,7,"Bayerische Landesbank Girozentrale","BAYER-LANDES","Lead Manager",2785714.28571429
"70",4296555324,"Cargill Inc",154083527239,"2010-07-21","2010-07-21","2011-07-20","364 Day Revolver","Standby/CP Support",NA,"Cargill Inc",1.2e+08,12,"Scotiabank","SCOTIABANK","Lead Manager",1e+07
"71",4296555324,"Cargill Inc",154083528023,"2012-02-13","2012-03-22","2013-03-21","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",1.25e+09,34,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Lead Manager",36764705.8823529
"72",4296555324,"Cargill Inc",154083533749,"2011-07-18","2011-07-18","2012-07-18","Term Loan","Working Capital",NA,"Cargill Inc",1.2e+08,6,"UniCredit","UNICREDIT-SPA","Lead Manager",2e+07
"73",4296555324,"Cargill Inc",154083533786,"2011-02-26","2011-03-24","2012-03-22","364 Day Revolver","Acquisition Finance",NA,"Cargill Inc",5.22e+08,10,"Nordea","NORDEA-BANK","Lead Manager",52200000
"74",4296555324,"Cargill Inc",154083534420,"2009-10-03","2009-10-30","2010-10-29","364 Day Revolver","Acquisition Finance","Bullet","Cargill Inc",1.725e+09,1,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Lead Manager",1.725e+09
