investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
Hartford Investment Management Company,Zoetis Inc,24030,0.0057,1823636.7
Hartline Investment Corporation,Zoetis Inc,2413,6.00E-04,183122.57
Harvest Portfolios Group Inc,Zoetis Inc,544261,0.1298,41303967.29
Harvey Capital Management Inc.,Zoetis Inc,2000,5.00E-04,151780
"Harvey Investment Company, LLC",Zoetis Inc,41684,0.0099,3163398.76
Hattersley (Gavin D K),Zoetis Inc,3354,8.00E-04,254535.06
Hauck & Aufhäuser Fund Services S.A.,Zoetis Inc,1894,5.00E-04,143735.66
"HeadInvest, LLC",Zoetis Inc,2206,5.00E-04,167413.34
Healthcare Of Ontario Pension Plan,Zoetis Inc,26513,0.0063,2012071.57
Heathbridge Capital Management Ltd.,Zoetis Inc,59175,0.0141,4490790.75
Helaba Invest Kapitalanlagegesellschaft mbH,Zoetis Inc,3507,8.00E-04,266146.23
"Hemington Wealth Management, LLC",Zoetis Inc,680,2.00E-04,51605.2
"Hennessy Advisors, Inc.",Zoetis Inc,21300,0.0051,1616457
Heritage Investors Management Corp.,Zoetis Inc,209297,0.0499,15883549.33
Heritage Trust Co,Zoetis Inc,1787,4.00E-04,135615.43
"Heritage Wealth Advisors, LLC",Zoetis Inc,3411,8.00E-04,258860.79
Hermes Investment Management Ltd.,Zoetis Inc,450642,0.1075,34199221.38
"Herold Advisors, Inc.",Zoetis Inc,2480,6.00E-04,188207.2
"Heron Bay Capital Management, LLC",Zoetis Inc,111814,0.0267,8485564.46
"Hibernia Wealth Partners, LLC",Zoetis Inc,1700,4.00E-04,129013
"High Note Wealth, LLC",Zoetis Inc,105,0,7968.45
HighMark Wealth Management LLC,Zoetis Inc,41,0,3111.49
"Highland Capital Management, LLC",Zoetis Inc,17340,0.0041,1315932.6
Highline Wealth Partners LLC,Zoetis Inc,83,0,6298.87
"Hightower Advisors, LLC",Zoetis Inc,419904,0.1002,31866514.56
Hikari Tsushin Inc,Zoetis Inc,188125,0.0449,14276806.25
Hill Investment Group Partners LLC,Zoetis Inc,199,0,15102.11
Hilltop National Bank,Zoetis Inc,276,1.00E-04,20945.64
"Hilton Head Capital Partners, LLC",Zoetis Inc,125,0,9486.25
Hixon Zuercher Capital Management,Zoetis Inc,17111,0.0041,1298553.79
"Hoey Investments, Inc",Zoetis Inc,2115,5.00E-04,160507.35
Hollencrest Capital Management,Zoetis Inc,44,0,3339.16
Holos Integrated Wealth LLC,Zoetis Inc,257,1.00E-04,19503.73
"Holt Capital Advisors, L.L.C.",Zoetis Inc,5120,0.0012,388556.8
Homrich Berg,Zoetis Inc,13387,0.0032,1015939.43
Hoopoe Advisors,Zoetis Inc,96,0,7285.44
Horizon Financial Services LLC,Zoetis Inc,75,0,5691.75
"Horizon Investments, LLC",Zoetis Inc,22054,0.0053,1673678.06
"Howard Capital Management Group, LLC",Zoetis Inc,108461,0.0259,8231105.29
Howland Capital Management LLC,Zoetis Inc,2200,5.00E-04,166958
"Hudson Canyon Capital Management, LLC",Zoetis Inc,15393,0.0037,1168174.77
"Hughes Financial Services, LLC",Zoetis Inc,5,0,379.45
"Hunter Capital Management, LLC",Zoetis Inc,40690,0.0097,3087964.1
Huntington Private Financial Group,Zoetis Inc,90315,0.0215,6854005.35
"Hutchens & Kramer Investment Management Group, LLC",Zoetis Inc,3430,8.00E-04,260302.7
Hutchinson Capital Management,Zoetis Inc,111834,0.0267,8487082.26
"Hutner Capital Management, Inc.",Zoetis Inc,2729,7.00E-04,207103.81
Hyperion Capital Advisors LP,Zoetis Inc,66787,0.0159,5068465.43
"IA Global Asset Management, Inc.",Zoetis Inc,47327,0.0113,3591646.03
"IAS Wealth Management, Inc.",Zoetis Inc,5404,0.0013,410109.56
ICICI Prudential Asset Management Co. Ltd.,Zoetis Inc,58050,0.0138,4405414.5
"IDB Lido Wealth, LLC",Zoetis Inc,65,0,4932.85
IEQ Capital LLC,Zoetis Inc,31568,0.0075,2395695.52
IFM Independent Fund Management AG,Zoetis Inc,305,1.00E-04,23146.45
IFM Investors,Zoetis Inc,89557,0.0214,6796480.73
"IMA Wealth, Inc.",Zoetis Inc,8333,0.002,632391.37
"IMC Chicago, LLC",Zoetis Inc,13989,0.0033,1061625.21
"IMG Wealth Management, Inc",Zoetis Inc,19,0,1441.91
"IMS Capital Management, Inc.",Zoetis Inc,2561,6.00E-04,194354.29
ING Bank N.V.,Zoetis Inc,84842,0.0202,6438659.38
INTECH Investment Management LLC,Zoetis Inc,254608,0.0607,19322201.12
IPConcept (Luxemburg) S.A.,Zoetis Inc,25350,0.006,1923811.5
IQ EQ Fund Management (Ireland) Limited,Zoetis Inc,27272,0.0065,2069672.08
IQAM Invest GmbH,Zoetis Inc,342,1.00E-04,25954.38
"IRA Group., Inc.",Zoetis Inc,109,0,8272.01
IRC Wealth,Zoetis Inc,3830,9.00E-04,290658.7
IST Investmentstiftung,Zoetis Inc,4505,0.0011,341884.45
"Ibercaja Gestión S.G.I.I.C., S.A.",Zoetis Inc,37495,0.0089,2845495.55
"Icon Wealth Partners, LLC",Zoetis Inc,3828,9.00E-04,290506.92
"Ifrah Financial Services, Inc.",Zoetis Inc,2017,5.00E-04,153070.13
Illinois Municipal Retirement Fund,Zoetis Inc,16297,0.0039,1236779.33
Ilmarinen Mutual Pension Insurance Company,Zoetis Inc,75323,0.018,5716262.47
"Impact Shares, Corp.",Zoetis Inc,2025,5.00E-04,153677.25
Impax Asset Management LLC,Zoetis Inc,85508,0.0204,6489202.12
Impax Asset Management Ltd.,Zoetis Inc,1311067,0.3127,99496874.63
"Imprint Wealth, LLC",Zoetis Inc,29,0,2200.81
"InTrack Investment Management, Inc.",Zoetis Inc,2823,7.00E-04,214237.47
Independence Bank of Kentucky,Zoetis Inc,240,1.00E-04,18213.6
"Independent Advisor Alliance, LLC",Zoetis Inc,4361,0.001,330956.29
Independent Financial Group LLC,Zoetis Inc,2330,6.00E-04,176823.7
Independent Financial Partners,Zoetis Inc,9273,0.0022,703727.97
IndexIQ Advisors LLC,Zoetis Inc,67776,0.0162,5143520.64
"Indivisible Partners, LLC",Zoetis Inc,2383,6.00E-04,180845.87
Industrial Alliance Investment Management Inc.,Zoetis Inc,11711,0.0028,888747.79
Ingalls & Snyder LLC (Asset Management),Zoetis Inc,12087,0.0029,917282.43
"Innovative Asset Advisors Group, LLC",Zoetis Inc,70,0,5312.3
"Innovative Portfolios, LLC",Zoetis Inc,2694,6.00E-04,204447.66
"Inscription Capital, LLC",Zoetis Inc,2024,5.00E-04,153601.36
"Insigneo Advisory Services, LLC",Zoetis Inc,3287,8.00E-04,249450.43
Insync Funds Management Pty Ltd.,Zoetis Inc,18425,0.0044,1398273.25
Intact Investment Management Inc.,Zoetis Inc,5700,0.0014,432573
Integral Wealth Management,Zoetis Inc,3090,7.00E-04,234500.1
Integrated Advisors Network LLC,Zoetis Inc,2851,7.00E-04,216362.39
Integrated Financial Partners,Zoetis Inc,7517,0.0018,570465.13
"Intellectus Partners, LLC",Zoetis Inc,22608,0.0054,1715721.12
Intelligent Capitalworks,Zoetis Inc,6696,0.0016,508159.44
"Intentional Wealth Strategies, LLC",Zoetis Inc,32,0,2428.48
Intesa Sanpaolo Wealth Management S.A.,Zoetis Inc,1191,3.00E-04,90384.99
"Invera Wealth Advisors, LLC",Zoetis Inc,3882,9.00E-04,294604.98
Invesco,Zoetis Inc,3583877,0.8547,271980425.5
Investment Management Corporation of Ontario,Zoetis Inc,31496,0.0075,2390231.44
"Investment Research Partners, LLC",Zoetis Inc,2685,6.00E-04,203764.65
"Investors Asset Management of Georgia, Inc.",Zoetis Inc,6212,0.0015,471428.68
Investors Portfolio Services LLC,Zoetis Inc,18,0,1366.02
"Ironwood Investment Counsel, L.L.C.",Zoetis Inc,5373,0.0013,407756.97
"Ironwood Investment Management, LLC",Zoetis Inc,8259,0.002,626775.51
"Isthmus Partners, LLC",Zoetis Inc,101584,0.0242,7709209.76
J. Safra Asset Management Corporation,Zoetis Inc,780,2.00E-04,59194.2
J. Safra Sarasin Holding AG,Zoetis Inc,9503,0.0023,721182.67
J. Stern & Co. LLP,Zoetis Inc,192194,0.0458,14585602.66
"J. W. Burns & Company, Inc.",Zoetis Inc,7538,0.0018,572058.82
J.M. Forbes & Co. LLP,Zoetis Inc,55889,0.0133,4241416.21
J.P. Morgan (Suisse) S.A.,Zoetis Inc,148,0,11231.72
J.P. Morgan Mansart Management Limited,Zoetis Inc,487270,0.1162,36978920.3
J.P. Morgan Private Investments Inc. (JPMPI),Zoetis Inc,295339,0.0704,22413276.71
J.P. Morgan Private Wealth Advisors LLC,Zoetis Inc,15528,0.0037,1178419.92
J.P. Morgan Securities LLC,Zoetis Inc,595252,0.142,45173674.28
J.P. Morgan Securities plc,Zoetis Inc,22316,0.0053,1693561.24
"J.W. Cole Advisors, Inc.",Zoetis Inc,2881,7.00E-04,218639.09
"JAG Capital Management, LLC",Zoetis Inc,12554,0.003,952723.06
JDM Financial Group LLC,Zoetis Inc,50,0,3794.5
"JFS Wealth Advisors, LLC",Zoetis Inc,232,1.00E-04,17606.48
JGP Gestão de Recursos Ltda.,Zoetis Inc,1796,4.00E-04,136298.44
JLens,Zoetis Inc,1762,4.00E-04,133718.18
JNBA Financial Advisors LLC,Zoetis Inc,61,0,4629.29
JP Morgan Asset Management,Zoetis Inc,1350028,0.322,102453624.9
"JPL Wealth Management, LLC",Zoetis Inc,324,1.00E-04,24588.36
JPMorgan,Zoetis Inc,974317,0.2325,73940917.13
"Jackson Hole Capital Partners, LLC_NLE",Zoetis Inc,13411,0.0032,1017760.79
"Jackson, Grant Investment Advisers, Inc.",Zoetis Inc,271,1.00E-04,20566.19
"Jacobi Capital Management, LLC",Zoetis Inc,15184,0.0036,1152313.76
"Jacobs & Company, LLC",Zoetis Inc,97650,0.0233,7410658.5
"Jacobs Levy Equity Management, Inc.",Zoetis Inc,304877,0.0727,23137115.53
Jaffetilchin Investment Partners LLC,Zoetis Inc,2882,7.00E-04,218714.98
James Investment Research Inc.,Zoetis Inc,1727,4.00E-04,131062.03
"Jane Street Capital, L.L.C.",Zoetis Inc,7080,0.0017,537301.2
Janney Capital Management LLC,Zoetis Inc,52621,0.0126,3993407.69
Janney Montgomery Scott LLC,Zoetis Inc,156212,0.0373,11854928.68
Janus Henderson Investors,Zoetis Inc,3701747,0.883,280925579.8
"Jarislowsky Fraser, Ltd.",Zoetis Inc,76698,0.0183,5820611.22
Jefferies LLC,Zoetis Inc,19710,0.0047,1495791.9
Jennison Associates LLC,Zoetis Inc,2290,5.00E-04,173788.1
Johnson Financial Group Inc.,Zoetis Inc,958,2.00E-04,72702.62
"Johnson Investment Counsel, Inc.",Zoetis Inc,401360,0.0957,30459210.4
Jordan Park Group LLC,Zoetis Inc,14892,0.0036,1130153.88
Joseph Wetteny,Zoetis Inc,22113,0.0053,1678155.57
Journey Strategic Wealth LLC,Zoetis Inc,2716,6.00E-04,206117.24
"Julius Baer Gestión, S.G.I.I.C., S.A.",Zoetis Inc,1968,5.00E-04,149351.52
Julius Baer International Ltd.,Zoetis Inc,65079,0.0155,4938845.31
"Jump Financial, LLC",Zoetis Inc,37512,0.0089,2846785.68
Jupiter Asset Management Ltd.,Zoetis Inc,1037050,0.2474,78701724.5
Jyske Bank A/S,Zoetis Inc,49833,0.0119,3781826.37
Jyske Invest Fund Management A/S,Zoetis Inc,13348,0.0032,1012979.72
"K. J. Harrison & Partners, Inc.",Zoetis Inc,13000,0.0031,986570
KANON AG,Zoetis Inc,3933,9.00E-04,298475.37
"KB Asset Management Co., Ltd.",Zoetis Inc,13608,0.0032,1032711.12
KBC Asset Management N.V.,Zoetis Inc,451,1.00E-04,34226.39
KBC Group NV,Zoetis Inc,344903,0.0823,26174688.67
KBI Global Investors Ltd.,Zoetis Inc,69802,0.0167,5297273.78
"KDT Advisors, LLC",Zoetis Inc,4254,0.001,322836.06
KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.,Zoetis Inc,210,1.00E-04,15936.9
KLP Kapitalforvaltning AS,Zoetis Inc,164074,0.0391,12451575.86
KPP Advisory Services LLC,Zoetis Inc,8257,0.002,626623.73
Kathmere Capital Management,Zoetis Inc,10101,0.0024,766564.89
"Kayne Anderson Rudnick Investment Management, LLC",Zoetis Inc,383,1.00E-04,29065.87
"Keating Financial Advisory Services, Inc.",Zoetis Inc,285,1.00E-04,21628.65
Keebeck Wealth Management LLC,Zoetis Inc,5331,0.0013,404569.59
"Keel Point, LLC",Zoetis Inc,2622,6.00E-04,198983.58
Keeler Thomas Management LLC,Zoetis Inc,4676,0.0011,354861.64
"Kelleher Financial Advisors, LLC",Zoetis Inc,63,0,4781.07
Kemnay Advisory Services Inc.,Zoetis Inc,155,0,11762.95
Kennebec Savings Bank,Zoetis Inc,2877,7.00E-04,218335.53
Kennedy Capital Management LLC,Zoetis Inc,8496,0.002,644761.44
Kentucky Retirement Systems,Zoetis Inc,28018,0.0067,2126286.02
Kentucky Retirement Systems Insurance Trust Fund,Zoetis Inc,11744,0.0028,891252.16
Kentucky Teachers' Retirement System,Zoetis Inc,75888,0.0181,5759140.32
"Kera Capital Partners, Inc.",Zoetis Inc,2410,6.00E-04,182894.9
Kerr Financial Planning Corp,Zoetis Inc,206,0,15633.34
"Kesler, Norman & Wride, LLC",Zoetis Inc,31853,0.0076,2417324.17
"Kestra Advisory Services, LLC",Zoetis Inc,23140,0.0055,1756094.6
"Kestra Private Wealth Services, LLC",Zoetis Inc,37793,0.009,2868110.77
"Key Capital Management, INC",Zoetis Inc,25,0,1897.25
"Key Financial, Inc.",Zoetis Inc,964,2.00E-04,73157.96
KeyBanc Capital Markets,Zoetis Inc,106387,0.0254,8073709.43
Keyridge Asset Management Limited,Zoetis Inc,134336,0.032,10194759.04
Khosla (Sanjay),Zoetis Inc,9808,0.0023,744329.12
Kilter Group LLC,Zoetis Inc,28,0,2124.92
"Kingdom Financial Group, LLC.",Zoetis Inc,61,0,4629.29
"Kingsview Wealth Management, LLC",Zoetis Inc,8187,0.002,621311.43
"Kingswood Wealth Advisors, LLC",Zoetis Inc,5449,0.0013,413524.61
Kinneret Advisory LLC,Zoetis Inc,25355,0.006,1924190.95
"Kiwoom Asset Management Co., Ltd.",Zoetis Inc,982,2.00E-04,74523.98
"Knollwood Investment Advisory, LLC",Zoetis Inc,6905,0.0016,524020.45
Knuff & Company LLC,Zoetis Inc,840,2.00E-04,63747.6
Korea Investment Corporation,Zoetis Inc,144078,0.0344,10934079.42
"Korea Investment Management Co., Ltd.",Zoetis Inc,24405,0.0058,1852095.45
Kornitzer Capital Management Inc.,Zoetis Inc,1765,4.00E-04,133945.85
"Kovitz Investment Group Partners, LLC",Zoetis Inc,20066,0.0048,1522808.74
"Kozak & Tripp Private Asset Management, Inc.",Zoetis Inc,391,1.00E-04,29672.99
Krilogy Financial LLC,Zoetis Inc,2758,7.00E-04,209304.62
"Kutxabank Gestion, SGIIC, S.A.U.",Zoetis Inc,147332,0.0351,11181025.48
"Kyobo AXA Investment Managers Co., Ltd.",Zoetis Inc,367,1.00E-04,27851.63
"L. Roy Papp & Associates, LLP",Zoetis Inc,2221,5.00E-04,168551.69
"L2 Asset Management, LLC",Zoetis Inc,2384,6.00E-04,180921.76
LAIQON AG,Zoetis Inc,892,2.00E-04,67693.88
LBBW Asset Management Investmentgesellschaft mbH,Zoetis Inc,27400,0.0065,2079386
LFA - Lugano Financial Advisors SA,Zoetis Inc,1000,2.00E-04,75890
LGT Bank (Hong Kong),Zoetis Inc,10315,0.0025,782805.35
LGT Bank (Singapore) Ltd.,Zoetis Inc,19657,0.0047,1491769.73
LGT Fund Management Co Ltd.,Zoetis Inc,33434,0.008,2537306.26
LGT Securities (Thailand) Limited,Zoetis Inc,8206,0.002,622753.34
LGT Wealth Management Limited,Zoetis Inc,28295,0.0067,2147307.55
LGT Wealth Management UK LLP,Zoetis Inc,1350,3.00E-04,102451.5
LGT Wealth Management US Limited,Zoetis Inc,265,1.00E-04,20110.85
LIGA Bank eG,Zoetis Inc,2456,6.00E-04,186385.84
LLB Asset Management AG,Zoetis Inc,83883,0.02,6365880.87
LLB Invest Kapitalanlagegesellschaft m.b.H.,Zoetis Inc,1834,4.00E-04,139182.26
LOM Asset Management Limited,Zoetis Inc,130,0,9865.7
LOYS AG,Zoetis Inc,6000,0.0014,455340
LPL Financial LLC,Zoetis Inc,296876,0.0708,22529919.64
"LRI Investments, LLC",Zoetis Inc,188,0,14267.32
"LVW Advisors, LLC",Zoetis Inc,3600,9.00E-04,273204
La Financière de l'Echiquier,Zoetis Inc,86045,0.0205,6529955.05
La Française AM,Zoetis Inc,1579,4.00E-04,119830.31
LaFleur & Godfrey LLC,Zoetis Inc,13906,0.0033,1055326.34
"Lafayette Investments, Inc.",Zoetis Inc,5862,0.0014,444867.18
Lagano Roxanne,Zoetis Inc,16466,0.0039,1249604.74
Laird Norton Wealth Management,Zoetis Inc,13063,0.0031,991351.07
Lake Street Advisors,Zoetis Inc,11186,0.0027,848905.54
"Landscape Capital Management, L.L.C.",Zoetis Inc,6168,0.0015,468089.52
Lannebo Kapitalförvaltning AB,Zoetis Inc,20414,0.0049,1549218.46
Lansförsäkringar Fondförvaltning AB,Zoetis Inc,393516,0.0939,29863929.24
Larson Financial Group LLC,Zoetis Inc,6129,0.0015,465129.81
Laurie J. Hall Trustee,Zoetis Inc,4168,0.001,316309.52
"Lavaca Capital, LLC",Zoetis Inc,197,0,14950.33
"Lawrence W. Kelly & Associates, Inc.",Zoetis Inc,1075,3.00E-04,81581.75
Lazard Asset Management (Deutschland) GmbH,Zoetis Inc,492,1.00E-04,37337.88
Lazard Asset Management Limited,Zoetis Inc,88513,0.0211,6717251.57
Lazard Asset Management Pacific Company,Zoetis Inc,2232,5.00E-04,169386.48
"Lazard Asset Management, L.L.C.",Zoetis Inc,912970,0.2178,69285293.3
Lazard Frères Gestion S.A.S.,Zoetis Inc,1049307,0.2503,79631908.23
Leatherback Asset Management LLC,Zoetis Inc,6052,0.0014,459286.28
Leatherberry (Antoinette Renee),Zoetis Inc,5280,0.0013,400699.2
"Lee, Danner & Bass, Inc.",Zoetis Inc,24439,0.0058,1854675.71
"Leelyn Smith, LLC",Zoetis Inc,31522,0.0075,2392204.58
"Legacy Advisors, LLC",Zoetis Inc,1755,4.00E-04,133186.95
"Legacy Capital Wealth Partners, LLC",Zoetis Inc,1883,4.00E-04,142900.87
"Legacy Edge Advisors, LLC",Zoetis Inc,1885,4.00E-04,143052.65
Legacy Trust,Zoetis Inc,13285,0.0032,1008198.65
"Legacy Wealth Asset Management, LLC",Zoetis Inc,4798,0.0011,364120.22
Legacy Wealth Management LLC,Zoetis Inc,7218,0.0017,547774.02
"Legacy Wealth Management, LLC",Zoetis Inc,3,0,227.67
Legal & General,Zoetis Inc,3818221,0.9107,289764791.7
"Legal Advantage Investments, Inc.",Zoetis Inc,6200,0.0015,470518
Leonteq Securities AG,Zoetis Inc,15063,0.0036,1143131.07
"Les Fils Dreyfus & Cie SA, Banquiers",Zoetis Inc,8500,0.002,645065
"Level Four Advisory Services, LLC",Zoetis Inc,5746,0.0014,436063.94
"Levin Capital Strategies, L.P.",Zoetis Inc,20013,0.0048,1518786.57
"Lido Advisors, LLC",Zoetis Inc,17096,0.0041,1297415.44
LifePlan Financial LLC,Zoetis Inc,4420,0.0011,335433.8
"Lindbrook Capital, LLC",Zoetis Inc,3715,9.00E-04,281931.35
"Lindenwold Advisors, LLC",Zoetis Inc,16736,0.004,1270095.04
Lion Global Investors Limited,Zoetis Inc,4450,0.0011,337710.5
Liontrust Investment Partners LLP,Zoetis Inc,20935,0.005,1588757.15
Lipe & Dalton Investment Counsel,Zoetis Inc,4698,0.0011,356531.22
Litman Gregory Wealth Management LLC,Zoetis Inc,17668,0.0042,1340824.52
"Livförsäkringsbolaget Skandia, ömsesidigt",Zoetis Inc,2530,6.00E-04,192001.7
"Lodestone Wealth Management, LLC",Zoetis Inc,225,1.00E-04,17075.25
Lombard Odier Asset Management (Europe) Ltd,Zoetis Inc,93097,0.0222,7065131.33
Lombard Odier Asset Management (Switzerland) SA,Zoetis Inc,16482,0.0039,1250818.98
Lombard Odier Asset Management (USA) Corp.,Zoetis Inc,805,2.00E-04,61091.45
Longfellow Investment Management Co. LLC,Zoetis Inc,3907,9.00E-04,296502.23
"Loomis, Sayles & Company, L.P.",Zoetis Inc,105,0,7968.45
"Loring, Wolcott & Coolidge Fiduciary Advisors, LLP",Zoetis Inc,15266,0.0036,1158536.74
Los Angeles Capital Management LLC,Zoetis Inc,59483,0.0142,4514164.87
Louisiana State Employees' Retirement System,Zoetis Inc,21500,0.0051,1631635
"Lountzis Asset Management, LLC",Zoetis Inc,42510,0.0101,3226083.9
Lummis Asset Management L.P.,Zoetis Inc,40,0,3035.6
Lumyna Investments Ltd,Zoetis Inc,113771,0.0271,8634081.19
Luther King Capital Management Corp.,Zoetis Inc,748217,0.1785,56782188.13
LähiTapiola Varainhoito Oy,Zoetis Inc,9994,0.0024,758444.66
M&G Investment Management Ltd.,Zoetis Inc,173608,0.0414,13175111.12
M&R Capital Management Inc.,Zoetis Inc,1440,3.00E-04,109281.6
M. Elsasser Vermögensverwaltung Wealth Management GmbH,Zoetis Inc,21000,0.005,1593690
"MAI Capital Management, LLC",Zoetis Inc,78883,0.0188,5986430.87
MASTERINVEST Kapitalanlage GmbH,Zoetis Inc,7590,0.0018,576005.1
"MB Levis & Associates, LLC",Zoetis Inc,25,0,1897.25
MCF Advisors LLC,Zoetis Inc,1630,4.00E-04,123700.7
MD Financial Management Inc.,Zoetis Inc,11411,0.0027,865980.79
MEAG MUNICH ERGO AssetManagement GmbH,Zoetis Inc,6556,0.0016,497534.84
MEAG Munich ERGO Kapitalanlagegesellschaft mbH,Zoetis Inc,23804,0.0057,1806485.56
MFI Asset Management GmbH,Zoetis Inc,6326,0.0015,480080.14
MFM Mirante Fund Management SA,Zoetis Inc,8309,0.002,630570.01
MFS Investment Management,Zoetis Inc,371657,0.0887,28205049.73
MFS Investment Management Canada Limited,Zoetis Inc,63740,0.0152,4837228.6
MGO One Seven LLC,Zoetis Inc,42375,0.0101,3215838.75
MLC Asset Management,Zoetis Inc,51996,0.0124,3945976.44
MLC Investments Limited,Zoetis Inc,8856,0.0021,672081.84
"MML Investors Services, LLC",Zoetis Inc,39210,0.0094,2975646.9
MOKAN Wealth Management Inc,Zoetis Inc,5560,0.0013,421948.4
MONTAG Wealth Management,Zoetis Inc,4250,0.001,322532.5
"MPWM Advisory Solutions, LLC.",Zoetis Inc,18,0,1366.02
"MTM Investment Management, LLC",Zoetis Inc,3841,9.00E-04,291493.49
"MV Capital Management, Inc.",Zoetis Inc,407,1.00E-04,30887.23
Mackenzie Financial Corporation,Zoetis Inc,54702,0.013,4151334.78
Macquarie Investment Management Global Ltd.,Zoetis Inc,13927,0.0033,1056920.03
Magnolia Capital Advisors LLC,Zoetis Inc,12079,0.0029,916675.31
"Main Street Group, Ltd",Zoetis Inc,33,0,2504.37
MainStreet Advisors,Zoetis Inc,153644,0.0366,11660043.16
"Mairs and Power, Inc.",Zoetis Inc,319396,0.0762,24238962.44
"Malaga Cove Capital, LLC",Zoetis Inc,2084,5.00E-04,158154.76
Man Investments Inc,Zoetis Inc,681,2.00E-04,51681.09
"Man Investments, Ltd.",Zoetis Inc,69,0,5236.41
Man Solutions Ltd,Zoetis Inc,143,0,10852.27
Managed Account Advisors LLC,Zoetis Inc,1287191,0.307,97684924.99
"Managed Asset Portfolios, LLC",Zoetis Inc,9007,0.0021,683541.23
Manchester Capital Management LLC,Zoetis Inc,1474,4.00E-04,111861.86
"Manning & Napier Advisors, LLC",Zoetis Inc,1304,3.00E-04,98960.56
Manulife Investment Management (North America) Limited,Zoetis Inc,245963,0.0587,18666132.07
"Maple Capital Management, Inc.",Zoetis Inc,86885,0.0207,6593702.65
Marathon Capital Management,Zoetis Inc,35836,0.0085,2719594.04
Marble Trail Advisors,Zoetis Inc,1216,3.00E-04,92282.24
"March Asset Management, S.G.I.I.C., S.A.U.",Zoetis Inc,352,1.00E-04,26713.28
Margetts Fund Management Limited,Zoetis Inc,2945,7.00E-04,223496.05
"Marietta Investment Partners, LLC",Zoetis Inc,2300,5.00E-04,174547
Mariner Wealth Advisors,Zoetis Inc,117842,0.0281,8943029.38
"Mark Sheptoff Financial Planning, LLC",Zoetis Inc,380,1.00E-04,28838.2
Marshall & Melhorn LLC,Zoetis Inc,24818,0.0059,1883438.02
Marshall Wace LLP,Zoetis Inc,5227,0.0012,396677.03
Martel Wealth Advisors Inc,Zoetis Inc,3000,7.00E-04,227670
"Martin Capital Advisors, LLP",Zoetis Inc,2003,5.00E-04,152007.67
"Martingale Asset Management, L.P.",Zoetis Inc,49722,0.0119,3773402.58
Maryland State Retirement & Pension System,Zoetis Inc,21961,0.0052,1666620.29
Mascoma Wealth Management LLC,Zoetis Inc,12,0,910.68
Mason Capital Partners,Zoetis Inc,4231,0.001,321090.59
Matco Financial Inc.,Zoetis Inc,11750,0.0028,891707.5
"Mattern Capital Management, LLC",Zoetis Inc,69257,0.0165,5255913.73
Mawer Investment Management Ltd.,Zoetis Inc,753283,0.1797,57166646.87
Mazi Capital (Pty) Ltd,Zoetis Inc,22,0,1669.58
"McBroom & Associates, LLC",Zoetis Inc,5835,0.0014,442818.15
McCallister (Michael B),Zoetis Inc,27684,0.0066,2100938.76
McDonald Partners LLC,Zoetis Inc,5184,0.0012,393413.76
"McRae Capital Management, Inc.",Zoetis Inc,84747,0.0202,6431449.83
Mcshane Partners,Zoetis Inc,167,0,12673.63
"Meadowbrook Advisors Group, LLC",Zoetis Inc,2683,6.00E-04,203612.87
"Measured Wealth Private Client Group, LLC",Zoetis Inc,113,0,8575.57
Mechanics Bank,Zoetis Inc,2905,7.00E-04,220460.45
Mechanics Financial Corp,Zoetis Inc,4492,0.0011,340897.88
"Medallion Wealth Advisors, LLC",Zoetis Inc,295,1.00E-04,22387.55
Mediolanum International Funds Limited,Zoetis Inc,191495,0.0457,14532555.55
"Meeder Advisory Services, Inc.",Zoetis Inc,8957,0.0021,679746.73
"Meeder Asset Management, Inc",Zoetis Inc,45286,0.0108,3436754.54
Meiji Yasuda American Inc,Zoetis Inc,11358,0.0027,861958.62
Meiji Yasuda Asset Management Company Ltd.,Zoetis Inc,33898,0.0081,2572519.22
Meiji Yasuda Life Insurance Company,Zoetis Inc,6391,0.0015,485012.99
Mellon Investments Corporation,Zoetis Inc,1800996,0.4296,136677586.4
"Meramec Financial Planners, LLC",Zoetis Inc,970,2.00E-04,73613.3
"Mercer Global Advisors, Inc.",Zoetis Inc,55270,0.0132,4194440.3
Mercer Global Investments Europe Limited,Zoetis Inc,25821,0.0062,1959555.69
Mercer Global Investments Management Ltd,Zoetis Inc,161630,0.0386,12266100.7
Mercer Investments LLC,Zoetis Inc,201867,0.0482,15319686.63
Merchant West Investments (Pty) Ltd,Zoetis Inc,10240,0.0024,777113.6
Merchant West Pty Ltd,Zoetis Inc,1962,5.00E-04,148896.18
"Meridian Wealth Advisors, LLC",Zoetis Inc,2326,6.00E-04,176520.14
"Merit Financial Group, LLC",Zoetis Inc,12140,0.0029,921304.6
"Merrithew & Thorsten, Inc",Zoetis Inc,17,0,1290.13
"Mesirow Financial Investment Management, Inc.",Zoetis Inc,44454,0.0106,3373614.06
"MetLife Investment Management, LLC",Zoetis Inc,114814,0.0274,8713234.46
Metaurus Advisors LLC,Zoetis Inc,9736,0.0023,738865.04
"Metis Global Partners, LLC",Zoetis Inc,34185,0.0082,2594299.65
Metropolitan Life Insurance Co. (US),Zoetis Inc,64332,0.0153,4882155.48
