investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"Dunhill Financial, LLC",AGCO Corp,13,0,1480.96
"E.Sun Asset Management Co., Ltd.",AGCO Corp,1321,0.0018,150488.32
EFG Asset Management (North America) Corp,AGCO Corp,8644,0.0119,984724.48
EMC Capital Management LLC,AGCO Corp,1873,0.0026,213372.16
"EP Wealth Advisors, LLC",AGCO Corp,2713,0.0037,309064.96
ETF Architect,AGCO Corp,9386,0.013,1069253.12
Eaton Vance Management,AGCO Corp,88628,0.1224,10096501.76
"Edge Capital Group, LLC",AGCO Corp,420078,0.5801,47855285.76
"Edgestream Partners, L.P.",AGCO Corp,20884,0.0288,2379105.28
Edmond De Rothschild Asset Management (Luxembourg),AGCO Corp,8,0,911.36
Edmond de Rothschild Asset Management (France) S.A.,AGCO Corp,112000,0.1547,12759040
Edward Jones,AGCO Corp,3981,0.0055,453515.52
Eisler Capital (UK) Ltd,AGCO Corp,988,0.0014,112552.96
Eisler Capital (US) LLC,AGCO Corp,89339,0.1234,10177498.88
Empirical Wealth Management,AGCO Corp,3512,0.0049,400087.04
"Engineers Gate Manager, L.P.",AGCO Corp,11270,0.0156,1283878.4
"Ensign Peak Advisors, Inc.",AGCO Corp,10918,0.0151,1243778.56
Entropics Asset Management AB,AGCO Corp,88,1.00E-04,10024.96
"Entropy Technologies, LP",AGCO Corp,12678,0.0175,1444277.76
Entrust Financial LLC,AGCO Corp,42,1.00E-04,4784.64
"Envestnet Asset Management, Inc.",AGCO Corp,108075,0.1493,12311904
Erste Asset Management GmbH,AGCO Corp,29614,0.0409,3373626.88
Essential Partners LLC,AGCO Corp,28,0,3189.76
"Estabrook Capital Management, L.L.C. (Grove Creek)",AGCO Corp,39,1.00E-04,4442.88
Ethic Inc.,AGCO Corp,3619,0.005,412276.48
Eurizon Capital SGR S.p.A.,AGCO Corp,2503,0.0035,285141.76
Evelyn Partners Investment Management LLP,AGCO Corp,2210,0.0031,251763.2
"Eventide Asset Management, LLC",AGCO Corp,552,8.00E-04,62883.84
"EverSource Wealth Advisors, LLC",AGCO Corp,521,7.00E-04,59352.32
"Everence Capital Management, Inc.",AGCO Corp,2433,0.0034,277167.36
Evli Fund Management Company Ltd.,AGCO Corp,5300,0.0073,603776
"Exchange Traded Concepts, LLC",AGCO Corp,17530,0.0242,1997017.6
"ExodusPoint Capital Management, LP",AGCO Corp,2768,0.0038,315330.56
FMP Wealth Advisers,AGCO Corp,3,0,341.76
"Farther Finance Advisors, LLC",AGCO Corp,2320,0.0032,264294.4
Federated Hermes Equity Management Company of Pennsylvania,AGCO Corp,5988,0.0083,682152.96
Federated MDTA LLC,AGCO Corp,263,4.00E-04,29960.96
Felli (Luis Fernando Sartini),AGCO Corp,13440,0.0186,1531084.8
Fidelity,AGCO Corp,260095,0.3592,29630022.4
Fideuram - Intesa Sanpaolo Private Banking S.p.a.,AGCO Corp,7173,0.0099,817148.16
Fiduciary Trust International of California,AGCO Corp,2,0,227.84
Fiduciary Trust International of the South,AGCO Corp,91,1.00E-04,10366.72
"Fiduciary Trust International, LLC",AGCO Corp,545,8.00E-04,62086.4
"First Horizon Advisors, Inc.",AGCO Corp,108,1.00E-04,12303.36
First Trust Advisors L.P.,AGCO Corp,114080,0.1576,12995993.6
Florida State Board of Administration,AGCO Corp,42425,0.0586,4833056
"Focus Partners Wealth, LLC",AGCO Corp,34847,0.0481,3969770.24
"Fortitude Family Office, LLC",AGCO Corp,60,1.00E-04,6835.2
"Franklin Advisers, Inc.",AGCO Corp,15471,0.0214,1762456.32
"Franklin Advisory Services, LLC",AGCO Corp,1010,0.0014,115059.2
Franklin Equity Group,AGCO Corp,210,3.00E-04,23923.2
"Frazier Financial Advisors, LLC",AGCO Corp,3,0,341.76
"Frontier Capital Management Company, LLC",AGCO Corp,134350,0.1855,15305152
Fuller & Thaler Asset Management Inc.,AGCO Corp,1746334,2.4118,198942369.3
GAMMA Investing LLC,AGCO Corp,1869,0.0026,212916.48
GSA Capital Partners LLP,AGCO Corp,3851,0.0053,438705.92
"Gabelli Funds, LLC",AGCO Corp,6000,0.0083,683520
"Gateway Investment Advisers, LLC",AGCO Corp,4286,0.0059,488261.12
"Geode Capital Management, L.L.C.",AGCO Corp,1148286,1.5858,130812741.1
"Global Retirement Partners, LLC",AGCO Corp,538,7.00E-04,61288.96
Global Systematic Investors LLP,AGCO Corp,2698,0.0037,307356.16
"Golden State Equity Partners, L.L.C",AGCO Corp,1013,0.0014,115400.96
"Golden State Wealth Management, LLC",AGCO Corp,36,0,4101.12
Goldman Sachs,AGCO Corp,213330,0.2946,24302553.6
Golodryga (Zhanna),AGCO Corp,3830,0.0053,436313.6
"Gotham Asset Management, LLC",AGCO Corp,234404,0.3237,26703303.68
Gradient Investments LLC,AGCO Corp,19875,0.0274,2264160
"Graham Capital Management, L.P.",AGCO Corp,17400,0.024,1982208
Grantham Mayo Van Otterloo & Co LLC,AGCO Corp,288498,0.3984,32865692.16
"Green Century Capital Management, Inc.",AGCO Corp,3094,0.0043,352468.48
"Group One Trading, L.P.",AGCO Corp,237,3.00E-04,26999.04
Guggenheim Investments,AGCO Corp,2027,0.0028,230915.84
H. M. Payson & Co.,AGCO Corp,2500,0.0035,284800
"HFM Investment Advisors, LLC",AGCO Corp,6,0,683.52
HRT Financial LP,AGCO Corp,83018,0.1147,9457410.56
HSBC,AGCO Corp,5773,0.008,657660.16
"Hancock Whitney Investment Services, Inc.",AGCO Corp,16819,0.0232,1916020.48
Handelsbanken Kapitalförvaltning AB,AGCO Corp,15507,0.0214,1766557.44
Hansotia (Eric P.),AGCO Corp,229130,0.3164,26102489.6
Hantz Financial Services Inc,AGCO Corp,3530,0.0049,402137.6
